mm_rf_train.df_size,spark_cluster.num_nodes,pymonitor.num_nodes,pymonitor.dir,mm_dbscan.runtime,mm_dbscan.avg_mem,mm_dbscan.peak_mem,mm_dbscan.avg_cpu
128m,1,1,$ITER_DIR,121.82864475250244,18.79180327868852,33.4,19.65491803278688
128m,1,1,$ITER_DIR,119.36016607284546,19.790000000000006,37.9,19.780833333333327
128m,1,1,$ITER_DIR,119.10275435447693,18.238333333333337,33.0,19.80333333333333
256m,2,2,$ITER_DIR,125.70572257041931,18.44841269841269,41.6,17.844841269841275
256m,2,2,$ITER_DIR,125.80150079727173,18.59761904761906,43.2,17.50714285714286
256m,2,2,$ITER_DIR,123.97757148742676,16.812800000000014,33.7,17.56240000000001
512m,4,4,$ITER_DIR,130.53593921661377,16.676660341556,32.9,16.387476280834925
512m,4,4,$ITER_DIR,130.86868000030518,16.860227272727276,38.4,16.44848484848487
512m,4,4,$ITER_DIR,130.5236246585846,16.385305343511483,30.8,16.47843511450381
1g,8,8,$ITER_DIR,224.50811982154846,17.29360755975536,37.3,11.683046136742659
1g,8,8,$ITER_DIR,225.37033081054688,16.65484228002222,30.7,11.616878804648607
1g,8,8,$ITER_DIR,234.36032915115356,18.387599787120813,37.1,10.830069185737115
2g,15,15,$ITER_DIR,290.9804120063782,15.647887645581045,37.4,8.746814341173746
2g,15,15,$ITER_DIR,230.9032015800476,18.22810532341153,40.1,10.956096164854007
2g,15,15,$ITER_DIR,253.15849709510803,18.89241631799154,36.7,9.998509414225904
